episode,reward,outcome,duration,steps,total_steps,buffer_size,avg_critic_loss,avg_actor_loss
1401,-195.35049784896094,2,34.75805425643921,193,537684,537684,2.0298348189635598,36.140816565004656
1402,225.09997798172031,1,5.749916076660156,35,537719,537719,2.2445706231253486,36.72195805140904
1403,-36.245898268067734,4,81.03350067138672,530,538249,538249,2.209979373216629,36.376221480459535
1404,-35.85417795334717,4,80.98813605308533,544,538793,538793,2.1934595217599586,36.39833774286158
1405,214.6970493792512,1,13.740322351455688,95,538888,538888,2.1268633528759606,36.60314708508943
1406,-246.57414084818305,2,20.525295734405518,140,539028,539028,2.0282637293849675,36.25284276689802
1407,211.15716811676714,1,18.628417015075684,127,539155,539155,2.3542752331636083,36.43591569915531
1408,216.99358874548506,1,7.708775043487549,52,539207,539207,2.326733057315533,36.56748309502235
1409,-181.4317947957598,2,44.863813638687134,306,539513,539513,2.1974173753090156,36.25907167422226
1410,-182.0518914989227,2,34.10279202461243,234,539747,539747,2.074358489268865,36.380179935031464
1411,-239.856471737623,2,73.28222489356995,574,540321,540321,2.2018518608829285,36.49772291814824
1412,-174.59291767026411,2,30.20031189918518,238,540559,540559,2.2362750122527113,36.3865518650087
1413,-68.14574596373187,4,80.73978400230408,645,541204,541204,2.1780383483384007,36.28571822292121
1414,-201.01176398583212,2,70.57683491706848,560,541764,541764,2.15301553777286,36.36016477857317
1415,-57.241323855727295,4,80.84274196624756,637,542401,542401,2.209090715674815,36.296263941790286
1416,-185.5050936160406,2,21.707079648971558,172,542573,542573,2.250784086280091,36.47676645323288
1417,-70.28441363383502,4,80.84163308143616,640,543213,543213,2.1872548199258746,36.266185307502745
1418,206.78577735217254,1,22.637866258621216,180,543393,543393,2.253644076651997,36.40540165371365
1419,214.15912065145972,1,3.8527402877807617,30,543423,543423,2.2778154571851092,36.613853200276694
1420,195.91313788802367,1,35.37743639945984,283,543706,543706,2.0947156215725014,36.04325101063866
1421,-264.7076035226793,2,75.8398003578186,606,544312,544312,2.151728171228182,36.414291658810654
1422,-166.73353752028578,2,25.40202021598816,196,544508,544508,2.220710879990033,36.23665428161621
1423,-183.04929940905163,2,51.133604288101196,404,544912,544912,2.226417781397848,36.28807254829029
1424,-43.6583714239002,4,80.71989107131958,642,545554,545554,2.1484684738971733,36.24018481958692
1425,-170.28130286721398,2,20.618500232696533,162,545716,545716,2.2957110702991486,36.1120918650686
1426,-174.64729912023586,2,7.7127556800842285,60,545776,545776,2.0456525752941768,36.374249903361004
1427,-200.05438335891526,2,5.298529624938965,41,545817,545817,2.1215548253640897,35.954192091779014
1428,-49.02580504353782,4,80.86777806282043,634,546451,546451,2.0845574241143296,36.27116588989643
1429,-186.48623091428064,2,65.05531930923462,511,546962,546962,2.0620222988660557,36.081735786393196
1430,-54.85226654703917,4,80.86900281906128,633,547595,547595,2.1942177936552447,36.135072066320625
1431,-61.35058557864471,4,80.8364098072052,632,548227,548227,2.1542566348857517,36.12852830524686
1432,-200.51153924323683,2,76.97004961967468,601,548828,548828,2.052709280849495,36.03556850388919
1433,233.5491907488059,1,9.967170715332031,77,548905,548905,2.0461429465900767,36.11135705724939
1434,-187.01115460350826,2,70.03825831413269,537,549442,549442,2.1482860006433624,36.16859427510693
1435,-179.69752552169513,2,19.667958736419678,152,549594,549594,2.041373770880072,36.06551034826981
1436,-47.42835542834082,4,80.88099193572998,633,550227,550227,2.183071210486064,36.162856718186895
1437,-171.81248800424618,2,26.43670916557312,205,550432,550432,2.220850850314629,36.00304029511243
1438,-225.04842118571244,2,76.8311972618103,596,551028,551028,2.153061823856911,36.13902388963123
1439,-194.0343144848595,2,5.9932849407196045,45,551073,551073,2.2092568609449597,36.362012990315755
1440,-202.2719158188119,2,80.60230159759521,619,551692,551692,2.157318132663197,36.103084638161114
1441,205.17077017763634,1,35.322624921798706,277,551969,551969,2.242810211672249,36.23993082425224
1442,-242.749007881917,2,14.13619589805603,109,552078,552078,1.995935040876406,36.200356159735165
1443,220.01145223825765,1,3.9981188774108887,30,552108,552108,1.8867019852002462,35.621900939941405
1444,229.45834579637173,1,3.999758005142212,30,552138,552138,2.4621635397275288,36.202867889404295
